t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2023-12-04,202311,2,112116438,21102020060,1701324579472,,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/FREE 180 ML REAL WORTH RS 30,290,1000ML,TPK,,1701324579472-dabur nepal ltd--nepal-real fruit power#3.png,PARKER FOR NEXT MONTH,999,1,99765363,37.77247619628906,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MIXED FRUIT TPK 1000 ML+REAL 180 ML FREE,TPK,1000.000 ML,MIXED FRUIT,,1000.0,ML,290.0
0,2023-12-04,202311,2,112116438,21102020060,1701324579472,,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/FREE 180 ML REAL WORTH RS 30,290,1000ML,TPK,,1701324579472-dabur nepal ltd--nepal-real fruit power#3.png,PARKER FOR NEXT MONTH,999,2,99765118,48.531158447265625,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MIXED FRUIT TPK 1000 ML+REAL APPLE 180 ML FREE,TPK,1000.000 ML,MIXED FRUIT,,1000.0,ML,290.0
0,2023-12-04,202311,2,112116438,21102020060,1701324579472,,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/FREE 180 ML REAL WORTH RS 30,290,1000ML,TPK,,1701324579472-dabur nepal ltd--nepal-real fruit power#3.png,PARKER FOR NEXT MONTH,999,3,51766,56.479225158691406,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MIXED FRUIT TPK 1000 ML,TPK,1000.000 ML,MIXED FRUIT,,1000.0,ML,0.0
1,2023-12-04,202311,2,122160674,12303020021,1700801745964,99765111,118,SHAMBHAVI FOOD AND BEVERAGES PVT. LTD,MAINTAIN DEW,MAINTAIN DEW PBT 1000ML,120,1000ML,PBT,,1700801745964-shambhavi food and beverages pvt- ltd-maintain dew#3.png,RECODING,5,1,99765111,102.36050415039062,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW,PET 1000 ML,PET,1000.000 ML,LEMON,,1000.0,ML,120.0
2,2023-12-04,202311,2,123490448,31101020011,1700549616408,99765112,134,THE BINDESHWORI DRK WTR&BVG-NP,ALL IN ONE,ALL IN ONE PBT 1 LTR,25,1000ML,PBT,,1700549616408-the bindeshwori drk wtr-bvg-np-all in one#3.png,RECODING,5,1,47798,126.0470962524414,118,THE BINDESHWORI DRK WTR&BVG-NP,THE BINDESHWORI,THE BINDESHWORI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2,2023-12-04,202311,2,123490448,31101020011,1700549616408,99765112,134,THE BINDESHWORI DRK WTR&BVG-NP,ALL IN ONE,ALL IN ONE PBT 1 LTR,25,1000ML,PBT,,1700549616408-the bindeshwori drk wtr-bvg-np-all in one#3.png,RECODING,5,2,99764086,144.85231018066406,118,THE BINDESHWORI DRK WTR&BVG-NP,AQUA RUIS,AQUA RUIS,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2,2023-12-04,202311,2,123490448,31101020011,1700549616408,99765112,134,THE BINDESHWORI DRK WTR&BVG-NP,ALL IN ONE,ALL IN ONE PBT 1 LTR,25,1000ML,PBT,,1700549616408-the bindeshwori drk wtr-bvg-np-all in one#3.png,RECODING,5,4,99765112,157.52842712402344,118,THE BINDESHWORI DRK WTR&BVG-NP,EPI AQUA WATER KING,EPI AQUA WATER KING,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
3,2023-12-04,202311,2,124303166,21301020032,1700372370852,99765110,134,A ONE POLYMERS & BEVERAGE P LTD,AQUA RAJDHANI,AQUA RAJDHANI\1000\ML,20,1000 ML,PET,,1700372370852-a one polymers - beverage p ltd-aqua rajdhani#3.png,RECODING,5,1,99765110,67.39048767089844,118,A-ONE POLYMERS & BEVERAGE-NP,AQUA RAJDHANI,AQUA RAJDHANI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
3,2023-12-04,202311,2,124303166,21301020032,1700372370852,99765110,134,A ONE POLYMERS & BEVERAGE P LTD,AQUA RAJDHANI,AQUA RAJDHANI\1000\ML,20,1000 ML,PET,,1700372370852-a one polymers - beverage p ltd-aqua rajdhani#3.png,RECODING,5,2,99765289,125.48063659667969,118,A-ONE POLYMERS & BEVERAGE-NP,AQUA MINE,AQUA MINE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
3,2023-12-04,202311,2,124303166,21301020032,1700372370852,99765110,134,A ONE POLYMERS & BEVERAGE P LTD,AQUA RAJDHANI,AQUA RAJDHANI\1000\ML,20,1000 ML,PET,,1700372370852-a one polymers - beverage p ltd-aqua rajdhani#3.png,RECODING,5,3,99765418,144.3630828857422,118,AQUA PLUS SINDHULIGADHI PVT LTD-NP,A+ONE SINDHULIGADHI,A+ONE SINDHULIGADHI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
