t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-11-23 00:00:00,202211.0,130254973.0,1669107381065.0,99764385.0,123.0,ALOK UDHYOG SAMITI-INDIA,JAY GREEN,JAY GREEN/DETERGENT CAKE/105GM/PPH,8.0,PPH,105GM,,1669107381065-alok udhyog samiti-india-jay green#3.png,RECODING,5.0,1.0,99764178,87.37017059326172,123.0,ALOK UDHYOG SAMITI-INDIA,JAY,JAY GREEN,JAY GREEN-DETERGENT CAKE PPH 220 GM,PLPCH,220.000 GM,,,220.0,GM,16.0
2022-11-23 00:00:00,202211.0,130254973.0,1669107381065.0,99764385.0,123.0,ALOK UDHYOG SAMITI-INDIA,JAY GREEN,JAY GREEN/DETERGENT CAKE/105GM/PPH,8.0,PPH,105GM,,1669107381065-alok udhyog samiti-india-jay green#3.png,RECODING,5.0,2.0,99764177,88.41732788085938,123.0,ALOK UDHYOG SAMITI-INDIA,JAY,JAY GREEN,JAY GREEN-DETERGENT CAKE PPH 210 GM,PLPCH,210.000 GM,,,210.0,GM,16.0
2022-11-23 00:00:00,202211.0,130254973.0,1669107381065.0,99764385.0,123.0,ALOK UDHYOG SAMITI-INDIA,JAY GREEN,JAY GREEN/DETERGENT CAKE/105GM/PPH,8.0,PPH,105GM,,1669107381065-alok udhyog samiti-india-jay green#3.png,RECODING,5.0,3.0,99764385,89.02294921875,123.0,ALOK UDHYOG SAMITI-INDIA,JAY,JAY GREEN,JAY GREEN-DETERGENT CAKE PPH 105 GM,PLPCH,105.000 GM,,,105.0,GM,8.0
2022-11-23 00:00:00,202211.0,130403386.0,1669100801737.0,99764386.0,132.0,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY DIAPERS,SAGUN BABY DIAPERS/SMALL/5 PCS/PPH,100.0,PPH,5 PCS,,1669100801737-a-g- health industries pvt ltd-nepal-sagun baby diapers#3.png,RECODING,5.0,1.0,99764386,94.40972900390625,132.0,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY,SAGUN BABY DIAPERS,SAGUN BABY DIAPERS-SMALL(S) PPH 5 NOS,PLPCH,5.000 NO,,,5.0,NO,100.0
2022-11-23 00:00:00,202211.0,130403386.0,1669100801737.0,99764386.0,132.0,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY DIAPERS,SAGUN BABY DIAPERS/SMALL/5 PCS/PPH,100.0,PPH,5 PCS,,1669100801737-a-g- health industries pvt ltd-nepal-sagun baby diapers#3.png,RECODING,5.0,2.0,99764436,99.95738220214844,132.0,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY,SAGUN BABY DIAPERS,SAGUN BABY DIAPERS-MEDIUM(M) PPH 5 NOS,PLPCH,5.000 NO,,,5.0,NO,100.0
2022-11-23 00:00:00,202211.0,130403386.0,1669100801737.0,99764386.0,132.0,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY DIAPERS,SAGUN BABY DIAPERS/SMALL/5 PCS/PPH,100.0,PPH,5 PCS,,1669100801737-a-g- health industries pvt ltd-nepal-sagun baby diapers#3.png,RECODING,5.0,3.0,99764737,106.87191009521484,132.0,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY,SAGUN BABY DIAPERS,SAGUN BABY DIAPERS-LARGE(L) PPH 4 NOS,PLPCH,4.000 NO,,,4.0,NO,100.0
2022-11-23 00:00:00,202211.0,130403386.0,1669098022612.0,99764387.0,106.0,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/SPICY MAZZA/3.2GM/PPH,1.0,PPH,3.2GM,,1669098022612-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5.0,1.0,99764387,102.49938201904297,106.0,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- SPICY MAZZA PPH 3.2 GM,PLPCH,3.200 GM,UNSPECIFIED,,3.2,GM,1.0
2022-11-23 00:00:00,202211.0,130403386.0,1669098022612.0,99764387.0,106.0,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/SPICY MAZZA/3.2GM/PPH,1.0,PPH,3.2GM,,1669098022612-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5.0,2.0,99764535,105.04972076416016,106.0,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- SPICY MAZZA PCN 640 GM,PLJAR,640.000 GM,UNSPECIFIED,,640.0,GM,165.0
2022-11-23 00:00:00,202211.0,130403386.0,1669098022612.0,99764387.0,106.0,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/SPICY MAZZA/3.2GM/PPH,1.0,PPH,3.2GM,,1669098022612-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5.0,3.0,91826096,115.28783416748047,106.0,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PPH 3.2 GM,PLPCH,3.200 GM,UNSPECIFIED,,3.2,GM,0.0
2022-11-23 00:00:00,202211.0,115069915.0,1669102737081.0,99764389.0,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI/750/GM/PPH,100.0,PPH,750 GM,,1669102737081-januka - sons industries-nepal-api green herbal ghadi #3.png,RECODING,5.0,1.0,99763733,94.54241943359375,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API,API GREEN HERBAL GHADI,API GREEN HERBAL GHADI-PPH 2000 GM,PLPCH,2000.000 GM,,,2000.0,GM,200.0
2022-11-23 00:00:00,202211.0,115069915.0,1669102737081.0,99764389.0,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI/750/GM/PPH,100.0,PPH,750 GM,,1669102737081-januka - sons industries-nepal-api green herbal ghadi #3.png,RECODING,5.0,2.0,99764389,95.32310485839844,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API,API GREEN HERBAL GHADI,API GREEN HERBAL GHADI-PPH 750 GM,PLPCH,750.000 GM,,,750.0,GM,100.0
2022-11-23 00:00:00,202211.0,115069915.0,1669102737081.0,99764389.0,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI/750/GM/PPH,100.0,PPH,750 GM,,1669102737081-januka - sons industries-nepal-api green herbal ghadi #3.png,RECODING,5.0,3.0,99764237,96.01882934570312,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API,API GREEN HERBAL GHADI,API GREEN HERBAL GHADI-PPH 150 GM,PLPCH,150.000 GM,,,150.0,GM,20.0
2022-11-23 00:00:00,202211.0,115069915.0,1669102870234.0,99764388.0,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI/350/GM/PPH,50.0,PPH,350 GM,,1669102870234-januka - sons industries-nepal-api green herbal ghadi #3.png,RECODING,5.0,1.0,99763733,88.40956115722656,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API,API GREEN HERBAL GHADI,API GREEN HERBAL GHADI-PPH 2000 GM,PLPCH,2000.000 GM,,,2000.0,GM,200.0
2022-11-23 00:00:00,202211.0,115069915.0,1669102870234.0,99764388.0,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI/350/GM/PPH,50.0,PPH,350 GM,,1669102870234-januka - sons industries-nepal-api green herbal ghadi #3.png,RECODING,5.0,2.0,99764237,89.54779052734375,122.0,JANUKA & SONS INDUSTRIES-NEPAL,API,API GREEN HERBAL GHADI,API GREEN HERBAL GHADI-PPH 150 GM,PLPCH,150.000 GM,,,150.0,GM,20.0
